2022-07-04 19:56:29.859 INFO  16408 --- [main] com.example.wj.WjApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-04 19:56:30.805 INFO  16408 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (http)
2022-07-04 19:56:30.815 INFO  16408 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8443"]
2022-07-04 19:56:30.815 INFO  16408 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-04 19:56:30.816 INFO  16408 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-04 19:56:30.956 INFO  16408 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-04 19:56:30.956 INFO  16408 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1053 ms
2022-07-04 19:56:31.357 INFO  16408 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8443"]
2022-07-04 19:56:31.377 INFO  16408 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8443 (http) with context path ''
2022-07-04 19:56:31.386 INFO  16408 --- [main] com.example.wj.WjApplication - Started WjApplication in 1.921 seconds (JVM running for 3.637)
2022-07-04 19:56:39.519 INFO  16408 --- [http-nio-8443-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-04 19:56:39.519 INFO  16408 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-04 19:56:39.520 INFO  16408 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-07-04 19:57:27.352 WARN  16408 --- [http-nio-8443-exec-4] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.example.wj.common.Result com.example.wj.controller.LoginController.login(com.example.wj.entity.User)]
2022-07-04 19:57:58.506 WARN  16408 --- [http-nio-8443-exec-6] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.example.wj.common.Result com.example.wj.controller.LoginController.login(com.example.wj.entity.User)]
2022-07-04 20:05:21.619 INFO  27576 --- [main] com.example.wj.WjApplication - Starting WjApplication using Java 1.8.0_291 on DESKTOP-63DTMM7 with PID 27576 (E:\springboot\vue\Vue\wj\target\classes started by lhaisong_xiaoxin in E:\springboot\vue\Vue\wj)
2022-07-04 20:05:21.622 INFO  27576 --- [main] com.example.wj.WjApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-04 20:05:22.465 INFO  27576 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (http)
2022-07-04 20:05:22.474 INFO  27576 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8443"]
2022-07-04 20:05:22.475 INFO  27576 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-04 20:05:22.475 INFO  27576 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-04 20:05:22.621 INFO  27576 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-04 20:05:22.622 INFO  27576 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 957 ms
2022-07-04 20:05:22.949 INFO  27576 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8443"]
2022-07-04 20:05:22.973 INFO  27576 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8443 (http) with context path ''
2022-07-04 20:05:22.982 INFO  27576 --- [main] com.example.wj.WjApplication - Started WjApplication in 1.755 seconds (JVM running for 3.454)
2022-07-04 20:05:29.213 INFO  27576 --- [http-nio-8443-exec-2] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-04 20:05:29.214 INFO  27576 --- [http-nio-8443-exec-2] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-04 20:05:29.215 INFO  27576 --- [http-nio-8443-exec-2] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
